	cv-c	loco	luna	CG6191	larp	Skeletor	puc	bol
Nipped-A	-0.4343291827135866	-0.6924595922529306	-0.2780762823764992	0.9909820004780006	0.8463249764662972	0.7997044104348806	-0.6119901568488395	0.9844687536304086
form3	0.992073956812447	0.9040742733495373	0.9991384087036612	-0.1877842079081743	-0.773948962227491	0.3152200917283509	-0.5554605494216389	-0.1463035555386202
CG40006	-0.9971174137578257	-0.9714205643296013	-0.9705122234893881	0.3809662178311373	0.885230359891586	-0.11847427863689694	0.37739471107569417	0.34173830581389364
MFS17	0.9798456847443461	0.9934531236521583	0.9328285769260488	-0.4934074548070756	-0.936373131867658	-0.0064086048874626945	-0.2588384758647369	-0.45638467429776414
CG6006	0.8166691773115674	0.9554601067985742	0.7090238757744324	-0.8016646636036163	-0.9984643501996684	-0.40819916149616003	0.15166482492827546	-0.775811153911594
nub	-0.51780918139981	-0.7577690763206697	-0.3679333576234127	0.9738043766756517	0.8930336829210761	0.7391503799376093	-0.5342158820894317	0.9633779939016898
spri	-0.6793320600704202	-0.41800918457712893	-0.7921688844622364	-0.4873480710117196	0.18600807507006217	-0.8513977997073404	0.9599637046793777	-0.5236462674922286
mol	-0.43235901150177714	-0.13112930021508187	-0.5766398654206817	-0.723455731381218	-0.11240889445588413	-0.9683140800061159	0.9998748503377707	-0.75185433938491
chinmo	-0.5232069420820725	-0.7618789253721402	-0.37380416231526015	0.9723474655286468	0.8958604959220612	0.7348777551034961	-0.5288612523092624	0.9616636248312131
puc	-0.446570141387965	-0.14679664092826697	-0.5894929054001012	-0.7124432797764435	-0.09667473943927403	-0.9642419906128658	1.0	-0.7413294217432863
Cht10	-0.4859017869482391	-0.7331850773944814	-0.3333853247547418	0.9815289168395366	0.8758280814624156	0.763490982894172	-0.5650330769314301	0.9726130510190029
CG42268	-0.6850471672992406	-0.8773290169982815	-0.554003780142252	0.9048477615857589	0.9673159021969732	0.5821965439762159	-0.3459016165063703	0.8861393524662303
Pde9	0.30781367613381605	0.5879268527120511	0.14487999562593956	-0.9999980003394032	-0.7660341284900232	-0.8739163097273515	0.7138451947421994	-0.9991970916779909
bun	-0.8511794265920819	-0.6462262216288895	-0.926773848868823	-0.23544259100453402	0.442580197305736	-0.6796374132159744	0.8497423484217153	-0.27611450174077606
CG42284	-0.4930974374359427	-0.19871565428981414	-0.6312385936856793	-0.6744766869705616	-0.04409344346183013	-0.9489372959790411	0.9986107164726313	-0.7049345153640789
grh	0.925172649363633	0.7616728590209889	0.975502283654207	0.0743433368510115	-0.5824471181527741	0.551370636225751	-0.7527532186471997	0.11622388196957063
Mob2	0.9901707871578993	0.9846785032293103	0.9529944553044094	-0.4396578723286839	-0.9133209342015749	0.05434978141408056	-0.3170379899812877	-0.4014894668363351
kuz	0.3687679272861846	0.0620440168667262	0.5185769421055302	0.7696029130300226	0.18106684424649058	0.9833052714020336	-0.9963688315153181	0.7957798112457308
serp	-0.9869177775328649	-0.9882162652998282	-0.9462256875490637	0.4589608646269783	0.92190651185236	-0.03276318106834213	0.2964727193887538	0.42118375597878266
ctrip	-0.9997682482536538	-0.9570721915818622	-0.9821865639302809	0.3301133544821566	0.8586200487206905	-0.17230642283578132	0.4272046034052797	0.2901164362535763
Gprk1	-0.8997571678172216	-0.9907683741372834	-0.8144090777808578	0.6936022280273249	0.9941552510359845	0.25406746218742154	0.011344504335065628	0.6626881292719602
